#{"t_start": 1718221609.5780025, "env_id": null}
r,l,t
0,2001,57.280566
0,2001,113.394853
0,2001,169.864759
0,2001,226.422883
0,2001,283.358216
0,2001,340.582777
0,2001,397.125855
0,2001,454.200434
0,2001,510.445277
0,2001,569.802663
0,2001,626.649307
0,2001,685.226834
0,2001,741.934346
0,2001,798.369144
0,2001,854.347693
0,2001,910.444397
0,2001,966.256971
0,2001,1022.226799
0,2001,1078.898708
0,2001,1135.224045
0,2001,1191.949495
0,2001,1248.885814
0,2001,1305.207395
0,2001,1361.653263
0,2001,1417.769429
0,2001,1473.911502
0,2001,1530.298564
0,2001,1586.524696
0,2001,1642.861048
0,2001,1698.844481
0,2001,1754.811131
0,2001,1810.881662
0,2001,1866.686499
0,2001,1922.673074
0,2001,1978.491844
0,2001,2034.396055
0,2001,2090.722177
0,2001,2147.127616
0,2001,2203.319417
0,2001,2259.259507
0,2001,2315.328593
0,2001,2371.480471
0,2001,2427.231179
0,2001,2480.937331
0,2001,2537.562747
0,2001,2594.729501
0,2001,2650.561159
0,2001,2706.321705
0,2001,2761.849411
0,2001,2817.483511
0,2001,2872.669613
0,2001,2927.576623
0,2001,2983.05765
0,2001,3039.113247
0,2001,3094.548213
0,2001,3149.782609
0,2001,3204.992901
0,2001,3261.011584
0,2001,3316.587866
0,2001,3372.225119
0,2001,3427.374259
0,2001,3482.71228
0,2001,3538.416083
0,2001,3593.73115
0,2001,3649.295511
0,2001,3705.0626
0,2001,3760.327276
0,2001,3815.338682
0,2001,3870.8733
0,2001,3926.89624
0,2001,3982.703358
0,2001,4038.749563
0,2001,4094.70912
0,2001,4150.016374
0,2001,4205.687533
0,2001,4261.587399
0,2001,4317.122574
0,2001,4372.796827
0,2001,4428.718201
0,2001,4484.850469
0,2001,4540.931272
0,2001,4597.214336
0,2001,4652.94571
0,2001,4708.887496
0,2001,4765.327526
0,2001,4821.672835
0,2001,4877.541454
0,2001,4930.734708
0,2001,4986.75499
0,2001,5042.801905
0,2001,5099.146869
0,2001,5155.042243
0,2001,5210.825482
0,2001,5266.899553
0,2001,5322.796975
0,2001,5378.634659
0,2001,5434.65522
0,2001,5490.802624
0,2001,5546.858495
0,2001,5602.565462
0,2001,5658.736133
0,2001,5715.1518
0,2001,5771.769108
0,2001,5827.931183
0,2001,5884.249995
0,2001,5940.729112
0,2001,5996.88365
0,2001,6052.727108
0,2001,6108.906264
0,2001,6165.017684
0,2001,6221.346332
0,2001,6277.845669
0,2001,6333.254003
0,2001,6389.099349
0,2001,6444.525429
0,2001,6500.368005
0,2001,6556.137325
0,2001,6612.09083
0,2001,6668.099773
0,2001,6723.857413
0,2001,6779.778492
0,2001,6835.424625
0,2001,6891.178029
0,2001,6947.207874
0,2001,7003.34311
0,2001,7059.280689
0,2001,7115.242145
0,2001,7171.06252
0,2001,7226.93653
0,2001,7283.068311
0,2001,7335.895808
0,2001,7392.023612
0,2001,7447.880773
0,2001,7503.81349
0,2001,7559.327436
0,2001,7615.077895
0,2001,7671.044386
0,2001,7726.818835
0,2001,7782.52784
0,2001,7838.907881
0,2001,7894.711004
0,2001,7950.671111
0,2001,8006.817899
0,2001,8062.844629
0,2001,8118.67308
0,2001,8174.514193
0,2001,8229.637543
0,2001,8285.211883
0,2001,8340.858269
0,2001,8396.507996
0,2001,8452.546655
0,2001,8508.436244
0,2001,8564.112756
0,2001,8620.003556
0,2001,8675.896441
0,2001,8731.74642
0,2001,8787.686191
0,2001,8843.598541
0,2001,8898.994411
0,2001,8954.805588
0,2001,9010.779133
0,2001,9066.347033
0,2001,9121.707094
0,2001,9177.235059
0,2001,9233.222977
0,2001,9288.905976
0,2001,9345.187409
0,2001,9401.526818
0,2001,9457.581572
0,2001,9513.493752
0,2001,9569.20871
0,2001,9625.012628
0,2001,9680.625996
0,2001,9736.193259
0,2001,9788.945366
0,2001,9844.888994
0,2001,9900.436917
0,2001,9955.864053
0,2001,10011.500205
0,2001,10067.379717
0,2001,10123.229177
0,2001,10179.325708
0,2001,10236.476915
0,2001,10293.997318
0,2001,10350.373335
0,2001,10407.35655
0,2001,10463.176214
0,2001,10519.423213
0,2001,10575.556983
0,2001,10631.604878
0,2001,10687.591663
0,2001,10743.611865
0,2001,10799.49391
0,2001,10855.604617
0,2001,10911.568811
0,2001,10967.103331
0,2001,11022.97577
0,2001,11078.969281
0,2001,11135.212246
0,2001,11190.973546
0,2001,11246.761535
0,2001,11302.455946
0,2001,11358.237891
0,2001,11414.054064
0,2001,11469.840099
0,2001,11525.960343
0,2001,11582.287136
0,2001,11638.180265
0,2001,11694.005141
0,2001,11749.434242
0,2001,11805.153384
0,2001,11860.425367
0,2001,11916.170765
0,2001,11971.589267
0,2001,12027.299115
0,2001,12083.184124
0,2001,12139.278574
0,2001,12192.660093
0,2001,12248.246415
0,2001,12304.061728
0,2001,12360.025795
0,2001,12416.03091
0,2001,12472.568508
0,2001,12528.932057
0,2001,12585.594721
0,2001,12641.92063
0,2001,12698.504305
0,2001,12754.973306
0,2001,12811.137626
0,2001,12867.643133
0,2001,12923.392624
0,2001,12979.105346
0,2001,13035.497692
0,2001,13091.48009
0,2001,13147.271931
0,2001,13202.747674
0,2001,13258.624871
0,2001,13314.766512
0,2001,13370.631539
0,2001,13427.173847
0,2001,13483.223549
0,2001,13538.75681
0,2001,13594.548527
0,2001,13650.68387
0,2001,13706.536264
0,2001,13762.952962
0,2001,13819.336978
0,2001,13875.057557
0,2001,13931.038878
0,2001,13986.808072
